instance,ited,sized,td,tr,obj,time
h200C2_2_2.csv,5,5,5333.76953711761,0,0.058010122458708346,47.9633884429931
h200C2_2_2.csv,5,10,5332.31381980908,0,0.057994290064986534,61.8195106983184
h200C2_2_2.csv,5,10,5144.03219940601,0,0.05594653757393898,62.5239791870117
h200C2_2_2.csv,5,10,5552.77077556071,0,0.06039198177457944,62.638447523117
h200C2_2_2.csv,5,20,5263.5805787531,0,0.05724674675572011,93.0647008419036
h200C2_2_2.csv,5,20,5070.71340130675,0,0.05514912170760557,90.9817233085632
h200C2_2_2.csv,5,20,5364.67426153365,0,0.05834624250203814,92.9223964214325
h200C2_2_2.csv,5,30,4816.83603643117,0,0.05238794934658801,121.875500679016
h200C2_2_2.csv,5,30,4781.64864053807,0,0.052005250932163294,124.001761436462
h200C2_2_2.csv,5,30,5098.7603300685,0,0.05545416034130308,122.65261554718
h200C2_2_2.csv,10,5,4580.63705194212,0,0.04981904719971405,90.7545883655548
